Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed,Games Missed
2015/16,Colorado,F,"Skille, Jack",Concussion,0.675,41.15853659,5,5
2015/16,Colorado,D,"Bigras, Chris",Concussion,0.934167,45.56912195,4,4
2015/16,Colorado,D,"Zadorov, Nikita",Concussion,1.744167,21.27032927,1,1
2015/16,Columbus,F,"Wennberg, Alexander",Concussion,1.4,85.36585366,5,5
2015/16,Detroit,F,"Franzen, Johan",Concussion,3.954545,3858.092683,80,80
2015/16,Detroit,D,"Quincey, Kyle",Concussion,4.25,207.3170732,4,4
2015/16,Edmonton,F,"Nugent-Hopkins, Ryan",Concussion,6,219.5121951,3,3
2015/16,Edmonton,F,"Pakarinen, Iiro",Concussion,0.9,32.92682927,3,3
2015/16,Florida,F,"Howden, Quinton",Concussion,0.8505,41.48780488,4,4
2015/16,Minnesota,F,"Zucker, Jason",Concussion,0.90025,65.87195122,6,6
2015/16,Minnesota,G,"Kuemper, Darcy",Concussion,1.25,91.46341463,6,6
2015/16,Montreal,D,"Barberio, Mark",Concussion,0.6,80.48780488,11,11
2015/16,NY Rangers,D,"McDonagh, Ryan",Concussion,4.7,229.2682927,4,4
2015/16,Ottawa,F,"Lazar, Curtis",Concussion,1.285,47.01219512,3,3
2015/16,Ottawa,F,"MacArthur, Clarke",Concussion,4.65,4423.170732,78,78
2015/16,Ottawa,D,"Methot, Marc",Concussion,4.9,179.2682927,3,3
2015/16,Ottawa,G,"Hammond, Andrew",Concussion,1.35,181.097561,11,11
2015/16,Philadelphia,F,"Gagner, Sam",Concussion,3.2,429.2682927,11,11
2015/16,Pittsburgh,D,"Warsofsky, David",Concussion,0.6,117.0731707,16,16
2015/16,Pittsburgh,G,"Fleury, Marc-Andre",Concussion,5.75,350.6097561,5,5
2015/16,Pittsburgh,G,"Fleury, Marc-Andre",Concussion,5.75,560.9756098,8,8
2015/16,San Jose,F,"Smith, Ben",Concussion,1.5,384.1463415,21,21
2015/16,St. Louis,F,"Fabbri, Robby",Concussion,1.106667,80.97563415,6,6
2015/16,Toronto,F,"Holland, Peter",Concussion,0.775,113.4146341,12,12
2015/16,Winnipeg,F,"Perreault, Mathieu",Concussion,3,365.8536585,10,10
2015/16,Winnipeg,F,"Scheifele, Mark",Concussion,1.713333,83.57721951,4,4
2015/16 (playoffs),Detroit,F,"Franzen, Johan",Concussion,3.954545,241.1307927,5,5
2015/16 (playoffs),Pittsburgh,G,"Fleury, Marc-Andre",Concussion,5.75,490.8536585,7,7
2016/17,Anaheim,D,"Despres, Simon",Concussion,3.7,3654.878049,81,81
2016/17,Arizona,D,"Chychrun, Jakob",Concussion,1.35,16.46341463,1,1
2016/17,Boston,F,"Backes, David",Concussion,6,219.5121951,3,3
2016/17,Boston,F,"Spooner, Ryan",Concussion,0.95,34.75609756,3,3
2016/17,Boston,D,"Liles, John-Michael",Concussion,2.25,521.3414634,19,19
2016/17,Boston,D,"Miller, Kevan",Concussion,2.5,121.9512195,4,4
2016/17,Carolina,F,"Staal, Jordan",Concussion,6,512.195122,7,7
2016/17,Carolina,G,"Lack, Eddie",Concussion,2.75,435.9756098,13,13
2016/17,Carolina,G,"Lack, Eddie",Concussion,2.75,469.5121951,14,14
2016/17,Dallas,F,"Sharp, Patrick",Concussion,5.9,863.4146341,12,12
2016/17,Dallas,F,"Sharp, Patrick",Concussion,5.9,1007.317073,14,14
2016/17,Florida,F,"Griffith, Seth",Concussion,0.625,30.48780488,4,4
2016/17,Florida,F,"Malgin, Denis",Concussion,0.7,76.82926829,9,9
2016/17,Florida,F,"Smith, Reilly",Concussion,3.425,83.53658537,2,2
2016/17,Florida,D,"Ekblad, Aaron",Concussion,3.775,184.1463415,4,4
2016/17,Montreal,F,"Shaw, Andrew",Concussion,3.9,665.8536585,14,14
2016/17,New Jersey,F,"Josefson, Jacob",Concussion,1.1,67.07317073,5,5
2016/17,New Jersey,F,"Zacha, Pavel",Concussion,1.744167,85.08131707,4,4
2016/17,New Jersey,D,"Moore, John",Concussion,1.666667,345.5285244,17,17
