,pkey,Season,Player,Team,Position,Games_Missed
185,2017Stephen Johns,2017,Stephen Johns,DAL,D,3
186,2017Leon Draisaitl,2017,Leon Draisaitl,EDM,F,4
187,2017Trevor Lewis,2017,Trevor Lewis,L.A,F,12
188,2017Gustav Olofsson,2017,Gustav Olofsson,MIN,D,5
189,2017Phillip Danault,2017,Phillip Danault,MTL,F,15
190,2017Ales Hemsky,2017,Ales Hemsky,MTL,F,74
191,2017Nikita Scherbak,2017,Nikita Scherbak,MTL,F,2
192,2017Marcus Johansson,2017,Marcus Johansson,N.J,F,13
193,2017Marcus Johansson,2017,Marcus Johansson,N.J,F,35
194,2017Pavel Buchnevich,2017,Pavel Buchnevich,NYR,F,7
195,2017Jimmy Vesey,2017,Jimmy Vesey,NYR,F,3
196,2017Mika Zibanejad,2017,Mika Zibanejad,NYR,F,9
197,2017Mark Borowiecki,2017,Mark Borowiecki,OTT,D,21
198,2017Bryan Rust,2017,Bryan Rust,PIT,F,2
199,2017Brian Dumoulin,2017,Brian Dumoulin,PIT,D,2
200,2017Matt Hunwick,2017,Matt Hunwick,PIT,D,15
201,2017Justin Schultz,2017,Justin Schultz,PIT,D,6
202,2017Logan Couture,2017,Logan Couture,S.J,F,4
203,2017Sammy Blais,2017,Sammy Blais,STL,F,1
204,2017Sam Gagner,2017,Sam Gagner,VAN,F,1
205,2017Brett Connolly,2017,Brett Connolly,WSH,F,7
206,2017Dmitry Kulikov,2017,Dmitry Kulikov,WPG,D,3
207,2017Jacob Trouba,2017,Jacob Trouba,WPG,D,5
208,2017Gustav Olofsson,2017,Gustav Olofsson,MIN,D,5
209,2017Marcus Johansson,2017,Marcus Johansson,N.J,F,2
210,2018Ondrej Kase,2018,Ondrej Kase,ANA,F,18
211,2018Jake DeBrusk,2018,Jake DeBrusk,BOS,F,9
212,2018Sean Kuraly,2018,Sean Kuraly,BOS,F,2
213,2018Torey Krug,2018,Torey Krug,BOS,D,6
214,2018Charlie McAvoy,2018,Charlie McAvoy,BOS,D,20
215,2018Urho Vaakanainen,2018,Urho Vaakanainen,BOS,D,26
216,2018Kyle Okposo,2018,Kyle Okposo,BUF,F,4
217,2018Mikael Backlund,2018,Mikael Backlund,CGY,F,4
218,2018Dillon Dube,2018,Dillon Dube,CGY,F,4
219,2018Micheal Ferland,2018,Micheal Ferland,CAR,F,4
220,2018Jordan Staal,2018,Jordan Staal,CAR,F,5
221,2018Jordan Staal,2018,Jordan Staal,CAR,F,27
222,2018Haydn Fleury,2018,Haydn Fleury,CAR,D,3
223,2018Haydn Fleury,2018,Haydn Fleury,CAR,D,9
224,2018Artem Anisimov,2018,Artem Anisimov,CHI,F,4
225,2018Drake Caggiula,2018,Drake Caggiula,CHI,F,13
226,2018Marcus Kruger,2018,Marcus Kruger,CHI,F,4
227,2018Brendan Perlini,2018,Brendan Perlini,CHI,F,3
228,2018J.T. Compher,2018,J.T. Compher,COL,F,16
229,2018Erik Johnson,2018,Erik Johnson,COL,D,2
230,2018Scott Harrington,2018,Scott Harrington,CBJ,D,2
231,2018Frans Nielsen,2018,Frans Nielsen,DET,F,5
232,2018Alex Petrovic,2018,Alex Petrovic,EDM,D,6
233,2018MacKenzie Weegar,2018,MacKenzie Weegar,FLA,D,4
234,2018Sami Vatanen,2018,Sami Vatanen,N.J,D,14
235,2018Johnny Boychuk,2018,Johnny Boychuk,NYI,D,2
236,2018Pavel Buchnevich,2018,Pavel Buchnevich,NYR,F,1
237,2018Vladislav Namestnikov,2018,Vladislav Namestnikov,NYR,F,3
238,2018Alex Formenton,2018,Alex Formenton,OTT,F,3
239,2018Bobby Ryan,2018,Bobby Ryan,OTT,F,3
240,2018Justin Falk,2018,Justin Falk,OTT,D,12
241,2018Patric Hornqvist,2018,Patric Hornqvist,PIT,F,3
242,2018Patric Hornqvist,2018,Patric Hornqvist,PIT,F,4
243,2018Brian Dumoulin,2018,Brian Dumoulin,PIT,D,3
244,2018Jamie Oleksiak,2018,Jamie Oleksiak,PIT,D,3
245,2018Radim simek,2018,Radim simek,S.J,D,2
246,2018Tyler Bozak,2018,Tyler Bozak,STL,F,9
247,2018David Perron,2018,David Perron,STL,F,24
248,2018Zach Sanford,2018,Zach Sanford,STL,F,3
249,2018Nikita Soshnikov,2018,Nikita Soshnikov,STL,F,10
250,2018Alex Steen,2018,Alex Steen,STL,F,2
251,2018Andreas Johnsson,2018,Andreas Johnsson,TOR,F,1
252,2018Nazem Kadri,2018,Nazem Kadri,TOR,F,8
253,2018Kasperi Kapanen,2018,Kasperi Kapanen,TOR,F,4
254,2018Sven Bartschi,2018,Sven Bartschi,VAN,F,23
255,2018Sven Bartschi,2018,Sven Bartschi,VAN,F,30
256,2018Elias Pettersson,2018,Elias Pettersson,VAN,F,6
257,2018Antoine Roussel,2018,Antoine Roussel,VAN,F,4
258,2018Alexander Edler,2018,Alexander Edler,VAN,D,11
259,2018Troy Stecher,2018,Troy Stecher,VAN,D,3
260,2018T.J. Oshie,2018,T.J. Oshie,WSH,F,11
261,2018Tom Wilson,2018,Tom Wilson,WSH,F,3
262,2018Andrew Copp,2018,Andrew Copp,WPG,F,3
263,2018Dustin Byfuglien,2018,Dustin Byfuglien,WPG,D,4
264,2018Matt Grzelcyk,2018,Matt Grzelcyk,BOS,D,4
265,2018Andrei Svechnikov,2018,Andrei Svechnikov,CAR,F,6
266,2019Kyle Okposo,2019,Kyle Okposo,BUF,F,10
267,2019Rasmus Dahlin,2019,Rasmus Dahlin,BUF,D,8
268,2019Drake Caggiula,2019,Drake Caggiula,CHI,F,27
269,2019Kirby Dach,2019,Kirby Dach,CHI,F,2
270,2019Andrew Shaw,2019,Andrew Shaw,CHI,F,44
271,2019Dylan Strome,2019,Dylan Strome,CHI,F,4
272,2019Adam Boqvist,2019,Adam Boqvist,CHI,D,1
273,2019Lucas Carlsson,2019,Lucas Carlsson,CHI,D,2
274,2019Pierre-edouard Bellemare,2019,Pierre-edouard Bellemare,COL,F,1
275,2019Joonas Donskoi,2019,Joonas Donskoi,COL,F,5
276,2019Miro Heiskanen,2019,Miro Heiskanen,DAL,D,1
277,2019Riley Sheahan,2019,Riley Sheahan,EDM,F,2
278,2019Matt Benning,2019,Matt Benning,EDM,D,4
279,2019Joel Persson,2019,Joel Persson,EDM,D,7
280,2019Kris Russell,2019,Kris Russell,EDM,D,14
281,2019Jordan Greenway,2019,Jordan Greenway,MIN,F,2
282,2019Brendan Gallagher,2019,Brendan Gallagher,MTL,F,4
283,2019Jesperi Kotkaniemi,2019,Jesperi Kotkaniemi,MTL,F,8
284,2019Xavier Ouellet,2019,Xavier Ouellet,MTL,D,3
285,2019Scott Sabourin,2019,Scott Sabourin,OTT,F,25
286,2019Travis Konecny,2019,Travis Konecny,PHI,F,3
287,2019Tyler Pitlick,2019,Tyler Pitlick,PHI,F,2
288,2019Dominik Kahun,2019,Dominik Kahun,PIT,F,8
289,2019Trevor Moore,2019,Trevor Moore,TOR,F,15
290,2019Micheal Ferland,2019,Micheal Ferland,VAN,F,17
291,2019Oscar Fantenberg,2019,Oscar Fantenberg,VAN,D,5
292,2019Bryan Little,2019,Bryan Little,WPG,F,9
293,2019Mathieu Perreault,2019,Mathieu Perreault,WPG,F,6
294,2019Andrew Shaw,2019,Andrew Shaw,CHI,F,9
295,2019Nicklas Backstrom,2019,Nicklas Backstrom,WSH,F,3
296,2020Sonny Milano,2020,Sonny Milano,ANA,F,34
297,2020Teuvo Teravainen,2020,Teuvo Teravainen,CAR,F,7
298,2020Teuvo Teravainen,2020,Teuvo Teravainen,CAR,F,25
299,2020Brady Skjei,2020,Brady Skjei,CAR,D,4
300,2020Ryan Carpenter,2020,Ryan Carpenter,CHI,F,8
301,2020Brett Connolly,2020,Brett Connolly,CHI,F,2
302,2020Andrew Shaw,2020,Andrew Shaw,CHI,F,42
303,2020Dylan Strome,2020,Dylan Strome,CHI,F,11
304,2020Adam Boqvist,2020,Adam Boqvist,CHI,D,3
305,2020Duncan Keith,2020,Duncan Keith,CHI,D,2
306,2020Joel Armia,2020,Joel Armia,MTL,F,7
307,2020Phillip Danault,2020,Phillip Danault,MTL,F,3
308,2020Dylan Gambrell,2020,Dylan Gambrell,S.J,F,1
309,2020John Leonard,2020,John Leonard,S.J,F,2
310,2020Tyler Bozak,2020,Tyler Bozak,STL,F,21
311,2020Micheal Ferland,2020,Micheal Ferland,VAN,F,56
312,2020Tyler Motte,2020,Tyler Motte,VAN,F,3
313,2020Blake Wheeler,2020,Blake Wheeler,WPG,F,6
314,2020Jake Evans,2020,Jake Evans,MTL,F,9
315,2020John Tavares,2020,John Tavares,TOR,F,6
316,2021Nick Foligno,2021,Nick Foligno,BOS,F,4
317,2021Trent Frederic,2021,Trent Frederic,BOS,F,7
318,2021Mike Hardman,2021,Mike Hardman,CHI,F,2
319,2021Tyler Johnson,2021,Tyler Johnson,CHI,F,6
320,2021Jujhar Khaira,2021,Jujhar Khaira,CHI,F,5
321,2021Jonathan Toews,2021,Jonathan Toews,CHI,F,11
322,2021Connor Murphy,2021,Connor Murphy,CHI,D,3
323,2021Connor Murphy,2021,Connor Murphy,CHI,D,22
324,2021Nathan MacKinnon,2021,Nathan MacKinnon,COL,F,4
325,2021Bowen Byram,2021,Bowen Byram,COL,D,6
326,2021Tanner Kero,2021,Tanner Kero,DAL,F,4
327,2021Zack Kassian,2021,Zack Kassian,EDM,F,1
328,2021Derek Ryan,2021,Derek Ryan,EDM,F,2
329,2021Duncan Keith,2021,Duncan Keith,EDM,D,9
330,2021Christian Dvorak,2021,Christian Dvorak,MTL,F,19
331,2021Sami Niku,2021,Sami Niku,MTL,D,2
332,2021Scott Laughton,2021,Scott Laughton,PHI,F,12
333,2021Pavel Buchnevich,2021,Pavel Buchnevich,STL,F,3
334,2021Ondrej Kase,2021,Ondrej Kase,TOR,F,20
335,2021Jake Muzzin,2021,Jake Muzzin,TOR,D,7
336,2021Jake Muzzin,2021,Jake Muzzin,TOR,D,20
337,2021William Carrier,2021,William Carrier,VGK,F,2
338,2021Andrew Copp,2021,Andrew Copp,WPG,F,6
339,2021Jansen Harkins,2021,Jansen Harkins,WPG,F,4
340,2021Neal Pionk,2021,Neal Pionk,WPG,D,3
341,2021Sidney Crosby,2021,Sidney Crosby,PIT,F,1
342,2022Jakub Voracek,2022,Jakub Voracek,ARI,F,4
