"index","pkey","season","name","team","position","games_played","i_f_goals","i_f_points","i_f_penalityminutes","i_f_hits","i_f_takeaways","i_f_giveaways","onice_corsipercentage","onice_fenwickpercentage","games_missed"
2274,"2014Keith Ballard",2014,"Keith Ballard","MIN","D",14,0,1,26,15,2,5,0.43,0.43,56
2363,"2014Clarke MacArthur",2014,"Clarke MacArthur","OTT","L",62,16,36,36,70,31,36,0.57,0.54,18
2367,"2014Jeff Skinner",2014,"Jeff Skinner","CAR","L",77,18,31,18,47,62,42,0.58,0.57,4
2408,"2014Matt Fraser",2014,"Matt Fraser","EDM","R",60,8,12,17,111,13,16,0.48,0.47,3
2445,"2014Brandon Pirri",2014,"Brandon Pirri","FLA","R",49,22,24,14,39,18,12,0.56,0.56,10
2488,"2014T.J. Oshie",2014,"T.J. Oshie","STL","R",72,19,55,49,99,48,31,0.55,0.57,7
2516,"2014Johan Franzen",2014,"Johan Franzen","DET","R",33,7,22,30,45,4,17,0.61,0.59,42
2559,"2014Korbinian Holzer",2014,"Korbinian Holzer","TOR","D",34,0,6,15,117,11,26,0.38,0.4,16
2559,"2014Korbinian Holzer",2014,"Korbinian Holzer","TOR","D",34,0,6,15,117,11,26,0.38,0.4,18
2560,"2014Ryane Clowe",2014,"Ryane Clowe","N.J","L",13,1,4,4,21,3,3,0.53,0.5,69
2609,"2015Kyle Quincey",2015,"Kyle Quincey","DET","D",47,4,11,36,49,8,26,0.44,0.44,4
2708,"2015Marc Methot",2015,"Marc Methot","OTT","D",69,5,12,34,124,10,49,0.43,0.41,3
2720,"2015Ryan Nugent-Hopkins",2015,"Ryan Nugent-Hopkins","EDM","C",55,12,34,18,39,43,30,0.52,0.51,3
2744,"2015Shane Doan",2015,"Shane Doan","ARI","R",72,28,47,58,116,33,27,0.54,0.53,1
2758,"2015Sam Gagner",2015,"Sam Gagner","PHI","C",53,8,16,15,17,20,13,0.55,0.54,11
2781,"2015Johan Franzen",2015,"Johan Franzen","DET","R",2,0,1,2,3,0,0,0.47,0.46,5
2781,"2015Johan Franzen",2015,"Johan Franzen","DET","R",2,0,1,2,3,0,0,0.47,0.46,80
2826,"2015Alexander Wennberg",2015,"Alexander Wennberg","CBJ","C",69,8,40,2,32,42,21,0.53,0.54,5
2832,"2015Mathieu Perreault",2015,"Mathieu Perreault","WPG","C",71,9,41,36,83,31,26,0.64,0.63,10
2836,"2015Phillip Di Giuseppe",2015,"Phillip Di Giuseppe","CAR","L",41,7,17,18,113,17,5,0.49,0.49,6
2839,"2015Peter Holland",2015,"Peter Holland","TOR","C",65,9,27,28,78,34,21,0.59,0.59,12
2857,"2015Brad Marchand",2015,"Brad Marchand","BOS","L",77,37,61,70,65,43,69,0.54,0.55,2
2864,"2015Mark Scheifele",2015,"Mark Scheifele","WPG","C",71,29,61,36,53,61,35,0.58,0.58,4
2898,"2015Jason Zucker",2015,"Jason Zucker","MIN","L",71,13,23,20,83,40,27,0.51,0.51,6
2947,"2015Mark Barberio",2015,"Mark Barberio","MTL","D",30,2,10,6,12,11,19,0.54,0.54,11
2963,"2015Iiro Pakarinen",2015,"Iiro Pakarinen","EDM","R",63,5,13,8,152,10,9,0.43,0.42,3
2979,"2015Ben Smith",2015,"Ben Smith","TOR","R",22,2,6,0,18,8,3,0.42,0.42,21
3047,"2015Quinton Howden",2015,"Quinton Howden","FLA","C",58,6,11,18,116,9,7,0.46,0.47,4
3096,"2015Ryan Murphy",2015,"Ryan Murphy","CAR","D",35,0,10,10,25,11,18,0.55,0.55,5
3175,"2015Robby Fabbri",2015,"Robby Fabbri","STL","C",72,18,37,25,51,27,20,0.55,0.54,6
3260,"2015Curtis Lazar",2015,"Curtis Lazar","OTT","C",76,6,20,18,118,24,15,0.41,0.41,3
3275,"2015Clarke MacArthur",2015,"Clarke MacArthur","OTT","L",4,0,0,0,3,0,0,0.58,0.57,78
3277,"2015Nikita Zadorov",2015,"Nikita Zadorov","COL","D",22,0,2,12,53,6,10,0.45,0.45,1
3366,"2015Jack Skille",2015,"Jack Skille","COL","R",74,8,14,11,97,17,8,0.42,0.43,5
3379,"2015Ryan McDonagh",2015,"Ryan McDonagh","NYR","D",73,9,34,22,98,31,67,0.47,0.49,4
3409,"2015Chris Bigras",2015,"Chris Bigras","COL","D",31,1,3,16,17,4,8,0.42,0.41,4
3426,"2015David Warsofsky",2015,"David Warsofsky","N.J","D",22,1,2,2,5,4,17,0.58,0.58,16
3513,"2016Jordan Staal",2016,"Jordan Staal","CAR","C",75,16,45,38,139,55,42,0.59,0.58,7
3520,"2016John Moore",2016,"John Moore","N.J","D",63,12,22,29,68,7,41,0.45,0.43,17
3539,"2016Matt Puempel",2016,"Matt Puempel","NYR","L",40,6,9,11,28,8,6,0.51,0.51,7
3539,"2016Matt Puempel",2016,"Matt Puempel","NYR","L",40,6,9,11,28,8,6,0.51,0.51,5
3613,"2016Jacob Josefson",2016,"Jacob Josefson","N.J","C",38,1,10,16,31,7,9,0.49,0.5,5
3635,"2016Carl Hagelin",2016,"Carl Hagelin","PIT","L",61,6,22,16,66,19,21,0.48,0.5,5
3644,"2016Sidney Crosby",2016,"Sidney Crosby","PIT","C",75,44,89,24,80,39,70,0.59,0.59,1
3644,"2016Sidney Crosby",2016,"Sidney Crosby","PIT","C",75,44,89,24,80,39,70,0.59,0.59,6
3648,"2016Reilly Smith",2016,"Reilly Smith","FLA","R",79,15,37,17,75,49,39,0.54,0.53,2
3700,"2016Simon Despres",2016,"Simon Despres","ANA","D",1,0,0,0,1,0,0,0.44,0.56,17
3700,"2016Simon Despres",2016,"Simon Despres","ANA","D",1,0,0,0,1,0,0,0.44,0.56,81
3788,"2016John-Michael Liles",2016,"John-Michael Liles","BOS","D",36,0,5,4,25,11,8,0.54,0.56,19
3815,"2016Patrick Sharp",2016,"Patrick Sharp","DAL","L",48,8,18,31,24,16,21,0.56,0.57,14
3815,"2016Patrick Sharp",2016,"Patrick Sharp","DAL","L",48,8,18,31,24,16,21,0.56,0.57,12
3816,"2016Conor Sheary",2016,"Conor Sheary","PIT","L",61,23,53,22,29,26,25,0.56,0.56,1
